Type,Square Item,Square Variation,Square SKU,Shopify Product,Details,Score
weak-item-match,10mg THC + CBD Gummy Fruit Slices,,"10mg-thc-cbd-gummy-fruit-slices-3-count,689745640926,689745640919,10mg-thc-cbd-gummy-fruit-slices-100-coun",,10mg THC + CBD Gummy Squares - Assorted Flavor - Hybrid,0.4
weak-item-match,Blitzd THC Seltzer Drinks,,"blitzd-thc-seltzer-drinks-single-blood-o,blitzd-thc-seltzer-drinks-4-pack-blood-o,blitzd-thc-seltzer-drinks-24-case-blood-,blitzd-thc-seltzer-drinks-single-waterme,blitzd-thc-seltzer-drinks-4-pack-waterme,blitzd-thc-seltzer-drinks-24-case-waterm",,Gata 25mg THC Drinks,0.33
multi-variant-match,Gata' Juice - 25mg THC Drinks,Lemonade,gata-juice-25mg-thc-drinks-lemonade,Gata 25mg THC Drinks,Lemonade(DRK-25-LEMONADE) | Pink Lemonade(DRK-25-PINKLEM),""
multi-variant-match,Gata' Juice - 25mg THC Drinks,Pink Lemonade,gata-juice-25mg-thc-drinks-pink-lemonade,Gata 25mg THC Drinks,Lemonade(DRK-25-LEMONADE) | Pink Lemonade(DRK-25-PINKLEM),""
weak-item-match,Healthy Pet CBD Jerky Sticks - Smokey Flavor,,689745640490,,CBD Pet Treats,0.25
weak-item-match,"1,000mg CBD Broad Spectrum Lavender & Eucalyptus Topical Balm",,689745640568,,50mg CBD Softgels - Broad Spectrum - 30 Count,0.25
weak-item-match,Kept Secret (Indica - 31.2% THCA),,"R270905,C515284,322855N,725277X",,Dragon (Indica - 31.29% THCA),0.43
weak-item-match,Red Thai (Sativa - 29.62% THCA),,"red-thai-sativa-29-62-thca-3-5-grams,red-thai-sativa-29-62-thca-7-grams,red-thai-sativa-29-62-thca-14-grams,red-thai-sativa-29-62-thca-28-grams",,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),0.27
multi-variant-match,Greasy Runtz (Indica - 29.31% THCA),3.5 Grams,greasy-runtz-indica-29-31-thca-3-5-grams,Dragon (Indica - 31.29% THCA),7 Grams(DRAGON-7) | 14 Grams(DRAGON-14) | 28 Grams(DRAGON-28),""
multi-variant-match,Greasy Runtz (Indica - 29.31% THCA),7 Grams,greasy-runtz-indica-29-31-thca-7-grams,Dragon (Indica - 31.29% THCA),7 Grams(DRAGON-7) | 14 Grams(DRAGON-14) | 28 Grams(DRAGON-28),""
