Square Item,Item Qty,Variation Name,Square SKU,Variation Qty
Can Topper,146,Regular,782244Q,146
Smoking Dog,75,Mango Lemonade 100,3741071,16
Smoking Dog,75,Blueberry Lemonade 100,K851086,25
Smoking Dog,75,Raspberry Sweet Tea 100,3669390,19
Smoking Dog,75,Orange Cream Puff 25,A556994,5
Smoking Dog,75,Watermelon 25,448454Y,4
Smoking Dog,75,Pink Lemonade 25,D432634,6
Smoking Dog,75,Mango Madness 5,453395V,0
Smoking Dog,75,Cherry Lime 5,875569B,0
Smoking Dog,75,Yuzu Lime 5,R840442,0
100MG Nerdz Clusterz,66,1 ct,NERDZ,66
100MG Nerdz Clusterz,66,50 ct,H553853,0
Wyld CBD Sparkling Water,52,Raspberry 50mg - Single,667625L,10
Wyld CBD Sparkling Water,52,4 pack,4642788,0
Wyld CBD Sparkling Water,52,Blackberry 50mg - Single,1600134,15
Wyld CBD Sparkling Water,52,Lemon 50mg - Single,T075057,9
Wyld CBD Sparkling Water,52,Orange - Singe,2038887,11
Wyld CBD Sparkling Water,52,Blueberry Pomegranate - Single,J681616,7
Brez Lemon ElderFlower Social Tonic,35,2.5mg THC - Single,brez-lemon-elderflower-social-tonic-2-5m,0
Brez Lemon ElderFlower Social Tonic,35,2.5mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-2-5m-1,0
Brez Lemon ElderFlower Social Tonic,35,2.5mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-2-5m-2,0
Brez Lemon ElderFlower Social Tonic,35,5mg THC - Single,brez-lemon-elderflower-social-tonic-5mg-,13
Brez Lemon ElderFlower Social Tonic,35,5mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-5mg--1,0
Brez Lemon ElderFlower Social Tonic,35,5mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-5mg--2,0
Brez Lemon ElderFlower Social Tonic,35,10mg THC - Single,brez-lemon-elderflower-social-tonic-10mg,22
Brez Lemon ElderFlower Social Tonic,35,10mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-10mg-1,0
Brez Lemon ElderFlower Social Tonic,35,10mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-10mg-2,0
Brez Lemon ElderFlower Social Tonic,35,Amplify Watermelon,139453R,0
Brez Lemon ElderFlower Social Tonic,35,Amplify Watermelon 4-Pack,772514Z,0
Single wide classic paper,31,Regular,5311800,31
King size paper (black),26,Regular,W306895,26
Diamond Distillate 1G Vape THC Free,25,Regular,Y327780,25
King size paper,25,Regular,2246763,25
Tips,23,Regular,3395889,23
clipper lighter,18,Regular,8446800,18
Rise Sample 2ct,17,Regular,Z161463,17
Rest Sample 2ct,14,Regular,V727538,14
Motor Breath (24.55% THCA Indica),14,3.5 Grams,K660783,3
Motor Breath (24.55% THCA Indica),14,7 Grams,C397146,3
Motor Breath (24.55% THCA Indica),14,14 Grams,7556078,5
Motor Breath (24.55% THCA Indica),14,28 Grams,F254391,3
SwitchBlade,11,Regular,113997T,11
Glass Bowl - small,9,Regular,512935X,9
AdaptoBites Functional,9,Regular,C764564,9
Blue Zushi (24.06% THCA Hybrid),9,3.5 Grams,600855T,0
Blue Zushi (24.06% THCA Hybrid),9,7 Grams,G084802,3
Blue Zushi (24.06% THCA Hybrid),9,14 Grams,K277419,4
Blue Zushi (24.06% THCA Hybrid),9,28 Grams,Z453271,2
3G Diamond Distillate Vape THC FREE,9,Regular,5433029,9
Roasted 5mg THC Coffee,8,Regular,J977529,8
Ghost OG (Indica - 25.11% THCA),8,3.5 Grams,691107Z,6
Ghost OG (Indica - 25.11% THCA),8,7 Grams,H373449,2
Ghost OG (Indica - 25.11% THCA),8,14 Grams,148046Z,0
Ghost OG (Indica - 25.11% THCA),8,28 Grams,1659487,0
Glass Bubbler - small,7,Regular,N768264,7
5mg THC Coco-Zen Chocolate Squares,7,2 Count,cocozen2,7
5mg THC Coco-Zen Chocolate Squares,7,8 Count,cocozen8,0
Jack Herer (Sativa - 37.4% THCA),6,3.5 Grams,409945C,6
Jack Herer (Sativa - 37.4% THCA),6,7 Grams,K354445,0
Jack Herer (Sativa - 37.4% THCA),6,14 Grams,7477972,0
Jack Herer (Sativa - 37.4% THCA),6,28 Grams,S595691,0
Glass Bowl - large,6,Regular,223969Y,6
Pineapple Trainwreck (Sativa- 32.58% THCA),6,3.5 Grams,898044F,4
Pineapple Trainwreck (Sativa- 32.58% THCA),6,7 Grams,C240019,1
Pineapple Trainwreck (Sativa- 32.58% THCA),6,14 Grams,B541915,1
