Square Item,Square Variation,Square SKU,Square Qty,Shopify Product,Shopify Variant,Shopify Variant ID,Current Shopify SKU,Proposed Shopify SKU (set to Square),Shopify Qty,Var Score
Gata' Juice - 25mg THC Drinks,Root Beer,gata-juice-25mg-thc-drinks-root-beer,1,Gata 25mg THC Drinks,Root Beer,gid://shopify/ProductVariant/42397529538615,DRK-25-ROOTBEER,gata-juice-25mg-thc-drinks-root-beer,1,1.0
Gata' Juice - 25mg THC Drinks,Mountain Tiger,685381521926,3,Gata 25mg THC Drinks,Mountain Tiger,gid://shopify/ProductVariant/42397529571383,DRK-25-MOUNTAINTIGER,685381521926,3,1.0
Gata' Juice - 25mg THC Drinks,Orange Soda,gata-juice-25mg-thc-drinks-orange-soda,2,Gata 25mg THC Drinks,Orange Soda,gid://shopify/ProductVariant/42397529604151,DRK-25-ORANGESODA,gata-juice-25mg-thc-drinks-orange-soda,2,1.0
Gata' Juice - 25mg THC Drinks,Half & Half,gata-juice-25mg-thc-drinks-half-half,0,Gata 25mg THC Drinks,Half & Half,gid://shopify/ProductVariant/42397529735223,DRK-25-HALFHALF,gata-juice-25mg-thc-drinks-half-half,0,1.0
Gata' Juice - 25mg THC Drinks,Fruit Punch,gata-juice-25mg-thc-drinks-fruit-punch,0,Gata 25mg THC Drinks,Fruit Punch,gid://shopify/ProductVariant/42397529669687,DRK-25-FRUITPUNCH,gata-juice-25mg-thc-drinks-fruit-punch,0,1.0
Gata' Juice - 25mg THC Drinks,Sweet Tea,gata-juice-25mg-thc-drinks-sweet-tea,0,Gata 25mg THC Drinks,Sweet Tea,gid://shopify/ProductVariant/42397529767991,DRK-25-SWEETTEA,gata-juice-25mg-thc-drinks-sweet-tea,0,1.0
THCA Pre-Roll,Venom OG,6737903,0,King Cone Pre-Roll - THCA,Venom OG (Indica),gid://shopify/ProductVariant/42203144323127,KINGCONE,6737903,0,0.67
Liquid Serenity - CBD Beverage Enhancer THC Free,6oz Bottle,R751387,18,Liquid Serenity CBD Beverage Enhancer - THC Free,6oz Bottle,gid://shopify/ProductVariant/42014699552823,LIQUIDSERENITY,R751387,19,1.0
Benzina Live Rosin (63.51% THCA),1 Gram,2588985,2,Benzina Tier 2 Rosin (Indica - 63.51% THCA),1 Gram,gid://shopify/ProductVariant/42331151695927,DSLR1,2588985,6,1.0
Jelly Donut Live Rosin (62.21% THCA),1 Gram,3275119,3,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),1 Gram,gid://shopify/ProductVariant/42331124465719,DSLR1,3275119,5,1.0
Orange Krush Live Rosin (62.52% THCA),1 Gram,P542141,2,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),1 Gram,gid://shopify/ProductVariant/42331151401015,DSLR1,P542141,6,1.0
Honey Banana Live Rosin (62.31% THCA),1 Gram,8361551,3,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),1 Gram,gid://shopify/ProductVariant/42331150942263,DSLR1,8361551,6,1.0
Papaya Crush Live Rosin (62.22% THCA),1 Gram,J451783,1,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),1 Gram,gid://shopify/ProductVariant/42331151794231,DSLR1,J451783,5,1.0
