Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ADD,Apricot Live Resin (Hybrid - 68.46% CBDA),10 Grams,APRICOT-10,45,Liquid Flower CBDA Live Resin Disposable Vape,0.23
ADD,100mg THC Gummies,Blueberry Lemonade,GUM-100-BLUELEM,25,30mg THC Gummies - Wild Cherry - Indica,0.22
ADD,Chem Berry Live Resin (Hybrid - 51.75% CBDA),10 Grams,CHEMBERRY-10,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Chem Berry Live Resin (Hybrid - 51.75% CBDA),25 Grams,CHEMBERRY-25,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Mango Fire Live Resin (Hybrid - 63.63% CBDA),10 Grams,MANGOFIRE-10,24,Liquid Flower CBDA Live Resin Disposable Vape,0.23
ADD,Mango Fire Live Resin (Hybrid - 63.63% CBDA),25 Grams,MANGOFIRE-25,24,Liquid Flower CBDA Live Resin Disposable Vape,0.23
ADD,Purple Gas Live Resin (Hybrid - 69.14% CBDA),10 Grams,PURPLEGAS-10,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Purple Gas Live Resin (Hybrid - 69.14% CBDA),25 Grams,PURPLEGAS-25,24,Purple Gas (Indica - 25.74% THCA),0.23
ADD,Sour Warheads Live Resin (Hybrid - 69.68% CBDA),10 Grams,SOURWARHEADS-10,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Sour Warheads Live Resin (Hybrid - 69.68% CBDA),25 Grams,SOURWARHEADS-25,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Super Suver Live Resin (Hybrid - 69.70% CBDA),10 Grams,SUPERSUVER-10,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Super Suver Live Resin (Hybrid - 69.70% CBDA),25 Grams,SUPERSUVER-25,24,Liquid Flower CBDA Live Resin Disposable Vape,0.21
ADD,Chem Berry Live Resin (Hybrid - 51.75% CBDA),5 Grams,CHEMBERRY-5,23,Liquid Flower CBDA Live Resin Disposable Vape,0.23
ADD,Sour Warheads Live Resin (Hybrid - 69.68% CBDA),5 Grams,SOURWARHEADS-5,23,Liquid Flower CBDA Live Resin Disposable Vape,0.23
ADD,Purple Gas Live Resin (Hybrid - 69.14% CBDA),5 Grams,PURPLEGAS-5,22,Liquid Flower CBDA Live Resin Disposable Vape,0.23
