Action,Square Item,Square SKUs,Qty,Best Shopify Product,Score,Square Variations
ADD,Northspore Functional 5 Mushroom Blend 70% Dark Chocolate Bar,6239796,0,AdaptoBites Functional,0.11,Regular(6239796)
ALIGN,10mg THC + CBD Gummy Fruit Slices,"10mg-thc-cbd-gummy-fruit-slices-3-count,689745640926,689745640919,10mg-thc-cbd-gummy-fruit-slices-100-coun",459,via SKU,1.0,3 Count(10mg-thc-cbd-gummy-fruit-slices-3-count) | 10 Count(689745640926) | 20 Count(689745640919) | 100 Count(10mg-thc-cbd-gummy-fruit-slices-100-coun)
ALIGN,Ambrosia Gold Zoap Crumble (88.89% THCA),"agzoap2.5,agzoat5,agzoap10,agzoap25",243,via SKU,1.0,2.5 Grams(agzoap2.5) | 5 Grams(agzoat5) | 10 Grams(agzoap10) | 25 Grams(agzoap25)
ALIGN,"1,000mg CBD Broad Spectrum Lavender & Eucalyptus Topical Balm",689745640568,191,via SKU,1.0,Regular(689745640568)
ALIGN,Can Topper,782244Q,146,via SKU,1.0,Regular(782244Q)
ALIGN,Liquid Flower THCA Live Resin Disposable Vape,"689745640766,KKLF,8431769,H314526,196944L,453934M,5497069,S865085,441235Z,799286E,N342864,W408225,795560P,872082S",139,via SKU,1.0,Orange Runtz (Hybrid)(689745640766) | Kush Krasher (Indica)(KKLF) | Kosher Chem (Indica)(8431769) | Cantalope Haze(H314526) | Gusherz (Indica-Dom Hybrid)(196944L) | Orangeade(453934M) | Papaya Punch(5497069) | Blue Cookies(S865085) | StrawJack(441235Z) | Strawnana(799286E) | Sherbet Haze(N342864) | White Bubba(W408225) | Biscotti(795560P) | Trop Z(872082S)
ALIGN,10mg THC + CBD Gummy Squares,"gummycube10,gummycube3",116,via SKU,1.0,10 Count(gummycube10) | 3 Count(gummycube3)
ALIGN,30mg THC Gummies - Blood Orange - Sativa,"689745640858,689745640834",105,via SKU,1.0,12 Count(689745640858) | 2 Count(689745640834)
ALIGN,30mg THC Gummies - Wild Cherry - Indica,"689745640803,B616646",99,via SKU,1.0,12 Count(689745640803) | 2 Count(B616646)
ALIGN,50mg CBD Softgels - Broad Spectrum - 30 Count,689745640674,88,via SKU,1.0,Regular(689745640674)
ALIGN,Honey Sticks,"474279Z,737519V,490755X,L124059,C123720",84,via SKU,1.0,5mg(474279Z) | 10mg(737519V) | 15mg(490755X) | Pineapple Jalapeno (5mg)(L124059) | Huckleberry (5mg)(C123720)
ALIGN,30mg THC Gummies - Blue Raspberry - Sativa,P155356,82,30mg THC Gummies - Blue Raspberry - Sativa,1.0,Regular(P155356)
ALIGN,Liquid Harmony - THC Beverage Enhancer,"689745640896,689745640551,975236S,293507G",76,via SKU,1.0,1oz Bottle(689745640896) | 6oz Bottle(689745640551) | 4oz(975236S) | event(293507G)
