Shopify Product,Variant,SKU,Qty,Tracked,Best Square Match,Name Score
Apricot Live Resin (Hybrid - 68.46% CBDA),10 Grams,APRICOT-10,45,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
100mg THC Gummies,Blueberry Lemonade,GUM-100-BLUELEM,25,true,30mg THC Gummies - Wild Cherry - Indica,0.2222222222222222
Super Suver Live Resin (Hybrid - 69.70% CBDA),25 Grams,SUPERSUVER-25,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Super Suver Live Resin (Hybrid - 69.70% CBDA),10 Grams,SUPERSUVER-10,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Sour Warheads Live Resin (Hybrid - 69.68% CBDA),25 Grams,SOURWARHEADS-25,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Sour Warheads Live Resin (Hybrid - 69.68% CBDA),10 Grams,SOURWARHEADS-10,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Purple Gas Live Resin (Hybrid - 69.14% CBDA),25 Grams,PURPLEGAS-25,24,true,Purple Gas (Indica - 25.74% THCA),0.23076923076923078
Purple Gas Live Resin (Hybrid - 69.14% CBDA),10 Grams,PURPLEGAS-10,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Mango Fire Live Resin (Hybrid - 63.63% CBDA),25 Grams,MANGOFIRE-25,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Mango Fire Live Resin (Hybrid - 63.63% CBDA),10 Grams,MANGOFIRE-10,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Chem Berry Live Resin (Hybrid - 51.75% CBDA),25 Grams,CHEMBERRY-25,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Chem Berry Live Resin (Hybrid - 51.75% CBDA),10 Grams,CHEMBERRY-10,24,true,Liquid Flower CBDA Live Resin Disposable Vape,0.21428571428571427
Chem Berry Live Resin (Hybrid - 51.75% CBDA),5 Grams,CHEMBERRY-5,23,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Sour Warheads Live Resin (Hybrid - 69.68% CBDA),5 Grams,SOURWARHEADS-5,23,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Purple Gas Live Resin (Hybrid - 69.14% CBDA),5 Grams,PURPLEGAS-5,22,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Super Suver Live Resin (Hybrid - 69.70% CBDA),5 Grams,SUPERSUVER-5,22,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Chem Berry Live Resin (Hybrid - 51.75% CBDA),2.5 Grams,CHEMBERRY-2.5,18,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Apricot Live Resin (Hybrid - 68.46% CBDA),25 Grams,APRICOT-25,18,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Super Suver Live Resin (Hybrid - 69.70% CBDA),2.5 Grams,SUPERSUVER-2.5,17,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
50mg THC Gummies (Singles),Blackberry,GUM-50-BLACKBERRY,15,true,30mg THC Gummies - Wild Cherry - Indica,0.2222222222222222
Purple Gas Live Resin (Hybrid - 69.14% CBDA),2.5 Grams,PURPLEGAS-2.5,14,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
Sour Warheads Live Resin (Hybrid - 69.68% CBDA),2.5 Grams,SOURWARHEADS-2.5,13,true,Liquid Flower CBDA Live Resin Disposable Vape,0.23076923076923078
50mg THC Gummies (Singles),Lemon,GUM-50-LEMON,9,true,30mg THC Gummies - Wild Cherry - Indica,0.2222222222222222
50mg THC Gummies (Singles),Blueberry Pomegranate,GUM-50-BLUEPOM,7,true,30mg THC Gummies - Wild Cherry - Indica,0.2
100mg THC Gummies,Pink Lemonade,GUM-100-PINKLEM,6,true,30mg THC Gummies - Wild Cherry - Indica,0.2222222222222222
