Action,Square Item,Square SKUs,Qty,Best Shopify Product,Score,Square Variations
ADD,Northspore Functional 5 Mushroom Blend 70% Dark Chocolate Bar,6239796,0,AdaptoBites Functional,0.11,Regular(6239796)
REVIEW,Blitzd THC Seltzer Drinks,"blitzd-thc-seltzer-drinks-single-blood-o,blitzd-thc-seltzer-drinks-4-pack-blood-o,blitzd-thc-seltzer-drinks-24-case-blood-,blitzd-thc-seltzer-drinks-single-waterme,blitzd-thc-seltzer-drinks-4-pack-waterme,blitzd-thc-seltzer-drinks-24-case-waterm",0,Gata 25mg THC Drinks,0.33,Single - Blood Orange(blitzd-thc-seltzer-drinks-single-blood-o) | 4-Pack - Blood Orange(blitzd-thc-seltzer-drinks-4-pack-blood-o) | 24-Case - Blood Orange(blitzd-thc-seltzer-drinks-24-case-blood-) | Single - Watermelon(blitzd-thc-seltzer-drinks-single-waterme) | 4-Pack - Watermelon(blitzd-thc-seltzer-drinks-4-pack-waterme) | 24-Case - Watermelon(blitzd-thc-seltzer-drinks-24-case-waterm)
REVIEW,Kept Secret (Indica - 31.2% THCA),"R270905,C515284,322855N,725277X",0,Dragon (Indica - 31.29% THCA),0.43,3.5 Grams(R270905) | 7 Grams(C515284) | 14 Grams(322855N) | 28 Grams(725277X)
REVIEW,Red Thai (Sativa - 29.62% THCA),"red-thai-sativa-29-62-thca-3-5-grams,red-thai-sativa-29-62-thca-7-grams,red-thai-sativa-29-62-thca-14-grams,red-thai-sativa-29-62-thca-28-grams",0,Columbian Gold (Sativa - 20.29% THCA),0.33,3.5 Grams(red-thai-sativa-29-62-thca-3-5-grams) | 7 Grams(red-thai-sativa-29-62-thca-7-grams) | 14 Grams(red-thai-sativa-29-62-thca-14-grams) | 28 Grams(red-thai-sativa-29-62-thca-28-grams)
REVIEW,Moonblend (Hybrid - 29.38% THCA),"moonblend-hybrid-29-38-thca-3-5-grams,moonblend-hybrid-29-38-thca-7-grams,moonblend-hybrid-29-38-thca-14-grams,moonblend-hybrid-29-38-thca-28-grams",0,Jack Fruit(Hybrid- 29.89% THCA),0.38,3.5 Grams(moonblend-hybrid-29-38-thca-3-5-grams) | 7 Grams(moonblend-hybrid-29-38-thca-7-grams) | 14 Grams(moonblend-hybrid-29-38-thca-14-grams) | 28 Grams(moonblend-hybrid-29-38-thca-28-grams)
REVIEW,Papaya (Hybrid - 24.69% THCA),"PAP3.5,PAP7,PAP14,PAP28",0,Ambrosia Gold Papaya Crumble (Hybrid - 86.24% THCA),0.44,3.5 Grams(PAP3.5) | 7 Grams(PAP7) | 14 Grams(PAP14) | 28 Grams(PAP28)
REVIEW,Sin Mint Cookies (Hybrid - 25.13% THCA),"549463D,889603S,M901419,892761A",0,Blockberry (Hybrid - 25.42% THCA),0.33,3.5 Grams(549463D) | 7 Grams(889603S) | 14 Grams(M901419) | 28 Grams(892761A)
REVIEW,Triangle Mintz (Hybrid - 25.01% THCA),"121197P,9823012,W103627,R320676",0,Blockberry (Hybrid - 25.42% THCA),0.38,3.5 Grams(121197P) | 7 Grams(9823012) | 14 Grams(W103627) | 28 Grams(R320676)
REVIEW,Purple Papaya Live Rosin (THCA 77.37%),"330922R,5942184,8272934",0,Nigerian Haze Live Rosin (THCA 77.46%),0.4,1 Gram(330922R) | 5 Grams(5942184) | 25 Grams(8272934)
REVIEW,Lung Candy (Indica - 31.6% THCA),"2415103,5031040,707665J,367729X",0,Dragon (Indica - 31.29% THCA),0.43,3.5 Grams(2415103) | 7 Grams(5031040) | 14 Grams(707665J) | 28 Grams(367729X)
